marker_category,cell_type,pearson_r,pearson_p,spearman_r,spearman_p
Neurons,Cluster_1_Oligos,-0.6294233099622698,3.326360479258645e-233,-0.5727777621668916,3.0067855624384784e-184
Neurons,Cluster_10_Neurons,-0.6385976107673875,4.081167335085604e-242,-0.5898044365163794,5.992327451333443e-198
Neurons,Cluster_14_Oligos,,,,
Neurons,Cluster_14_Vascular,,,,
Neurons,Cluster_14_Immune,,,,
Neurons,Cluster_16_Neurons,0.018446472405832665,0.3970487506900111,0.014991276742383786,0.49129476060037597
Neurons,Cluster_19_Neurons,0.05692411784246031,0.008913198167495431,0.08077907976946301,0.00020365566437515633
Neurons,Cluster_20_Neurons,0.061251746498862114,0.004884429390158455,0.07663798058467416,0.0004259802022094421
Neurons,Cluster_22_Neurons,0.0633445606951926,0.0036037200120280564,0.09543254741155693,1.1278065021481566e-05
Neurons,Cluster_30_Neurons,0.01785737437645113,0.41229987011304914,0.01842886532872562,0.3974995907813283
Neurons,Cluster_32_Immune,0.01785737437645113,0.41229987011304914,0.01842886532872562,0.3974995907813283
Neurons,Cluster_35_Immune,-0.3672545070236432,2.2611777788281603e-68,-0.33117825506171,3.470180711893167e-55
Neurons,Cluster_41_Astrocytes,,,,
Neurons,Cluster_44_Astrocytes,,,,
Neurons,Cluster_46_Vascular,,,,
Neurons,Cluster_47_Ependymal,,,,
Neurons,Cluster_48_Neurons,,,,
Neurons,Cluster_49_Neurons,,,,
Neurons,Cluster_52_Neurons,,,,
Neurons,Cluster_54_Neurons,-0.38412218311176394,3.7968109680551217e-75,-0.3550425612753151,1.0289292169677539e-63
Neurons,Cluster_58_Neurons,-0.31527766645722743,6.547548959094861e-50,-0.3011432441762346,1.7495899187006987e-45
Neurons,Cluster_61_Neurons,,,,
Neurons,Cluster_62_Neurons,,,,
Neurons,Cluster_69_Vascular,-0.3064401838863717,4.0969723747143415e-47,-0.2914754392278586,1.3553147026881671e-42
Neurons,Cluster_70_Vascular,-0.3183522787447062,6.616667554647543e-51,-0.28136578496870157,1.084198104371981e-39
Neurons,Cluster_73_Blood,-0.3289397420456945,2.0061946388484274e-54,-0.30562484865588596,7.339161370222035e-47
Oligodendrocytes,Cluster_1_Oligos,0.9493020447988818,0.0,0.9606738253073773,0.0
Oligodendrocytes,Cluster_10_Neurons,0.9546749135287929,0.0,0.9617760819156554,0.0
Oligodendrocytes,Cluster_14_Oligos,,,,
Oligodendrocytes,Cluster_14_Vascular,,,,
Oligodendrocytes,Cluster_14_Immune,,,,
