spot_id,tau,lambda,n_celltypes,rmse
0,0.3,10,18,2.213518358495847
1,0.3,10,24,5.103700310879758
2,0.3,10,22,7.50197586852228
3,0.3,10,17,1.3526689078827472
4,0.3,10,22,10.138329287560278
5,0.3,10,22,9.141378566944397
6,0.3,10,23,10.308751903796049
7,0.3,10,21,4.942558347697632
8,0.3,10,19,3.5108578275921416
9,0.3,10,19,1.6537458545917432
10,0.3,10,22,10.636095824066519
11,0.3,10,18,2.5982296411008172
12,0.3,10,22,5.900888332269028
13,0.3,10,20,3.4644564693328856
14,0.3,10,18,2.9258429794811676
15,0.3,10,19,3.65272504921678
16,0.3,10,21,5.012421807002604
17,0.3,10,18,2.385017672342251
18,0.3,10,22,6.280581676841091
19,0.3,10,22,8.887978272222941
20,0.3,10,18,4.102064358776942
21,0.3,10,19,4.768751122873276
22,0.3,10,21,6.79855524818797
23,0.3,10,19,3.186878423531528
24,0.3,10,19,5.501375691838441
25,0.3,10,17,1.4334888334786429
26,0.3,10,23,5.942890561938114
27,0.3,10,18,2.1296331486637325
28,0.3,10,18,3.544409211355322
29,0.3,10,24,8.404251743174129
30,0.3,10,24,7.418099615533772
31,0.3,10,24,13.309934487513326
32,0.3,10,19,3.929211014495474
33,0.3,10,18,3.9418100447477467
34,0.3,10,19,2.9305936424596504
35,0.3,10,19,1.9402872849620052
36,0.3,10,23,4.373456968714694
37,0.3,10,19,3.558427459391307
38,0.3,10,22,5.474446397419676
39,0.3,10,17,1.9387887531889512
40,0.3,10,19,3.44264739761859
41,0.3,10,23,8.913353195274286
42,0.3,10,20,4.908325342068503
43,0.3,10,18,4.283076172566644
44,0.3,10,17,3.336052039907674
45,0.3,10,20,4.081957088943162
46,0.3,10,18,3.64064305960091
47,0.3,10,18,3.3332604327574993
48,0.3,10,19,2.4679694058137773
49,0.3,10,18,2.38881135150134
50,0.3,10,18,4.0535808337879775
51,0.3,10,22,8.204947596103572
52,0.3,10,22,7.7101801423300325
53,0.3,10,22,8.32092261218303
54,0.3,10,20,7.151895181474161
55,0.3,10,19,4.508487028790228
56,0.3,10,20,5.515492367951542
57,0.3,10,23,11.476249572085981
58,0.3,10,19,3.550249411727252
59,0.3,10,22,6.194214900632101
60,0.3,10,18,3.6745393852671313
61,0.3,10,21,2.994535732885076
62,0.3,10,19,3.710963819645864
63,0.3,10,19,2.369750465935473
64,0.3,10,20,6.107722016754205
65,0.3,10,21,6.370914739702787
66,0.3,10,17,2.8052968799626514
67,0.3,10,22,7.013317078725876
68,0.3,10,17,2.7764042266891225
69,0.3,10,19,5.295259518968784
70,0.3,10,19,3.444934428238418
71,0.3,10,23,10.46862497761187
72,0.3,10,22,5.565247739742293
73,0.3,10,18,2.219773104504168
74,0.3,10,21,5.1962157932807225
75,0.3,10,19,2.19351335015685
76,0.3,10,22,9.043703212250895
77,0.3,10,24,9.319965191260724
78,0.3,10,23,6.920861415000411
79,0.3,10,20,4.377705171435215
80,0.3,10,20,6.097268367087587
81,0.3,10,22,5.4767751577349575
82,0.3,10,17,2.148634320540746
83,0.3,10,19,3.3897176202893307
84,0.3,10,20,2.874185948964773
85,0.3,10,22,4.466845213341908
86,0.3,10,22,4.330633655948845
87,0.3,10,20,7.016894475901695
88,0.3,10,22,8.67588046324423
89,0.3,10,18,3.68637927794505
90,0.3,10,19,3.325036157164831
91,0.3,10,18,3.816437727836116
92,0.3,10,20,4.4482307411037265
93,0.3,10,18,2.3138627276398345
94,0.3,10,21,6.216276057605408
95,0.3,10,17,1.7057251584445998
96,0.3,10,19,3.495927084788878
97,0.3,10,23,8.427695224705673
98,0.3,10,20,4.9324975406254685
99,0.3,10,23,3.777018971329622
100,0.3,10,20,2.1208603365669148
101,0.3,10,19,5.312741077946701
102,0.3,10,17,3.0127006669564165
103,0.3,10,20,4.215991213261389
104,0.3,10,20,6.394649439777745
105,0.3,10,21,4.837134375481602
106,0.3,10,20,3.7995771950634682
107,0.3,10,21,2.693384687426961
108,0.3,10,19,4.159303949524501
109,0.3,10,18,2.4594524016248274
110,0.3,10,21,3.9231016895724804
111,0.3,10,18,3.152294537048069
112,0.3,10,17,1.7329066928764478
113,0.3,10,22,7.017000610945825
114,0.3,10,18,3.443999310613242
115,0.3,10,20,3.2818103774200993
116,0.3,10,15,1.4276935077586599
117,0.3,10,20,5.154708181196667
118,0.3,10,22,9.368788961278575
119,0.3,10,17,4.332900113061093
120,0.3,10,18,1.7638458503871683
121,0.3,10,19,2.715885007718281
122,0.3,10,18,3.6724077445119665
123,0.3,10,21,6.288175267629031
124,0.3,10,20,4.608760368847695
125,0.3,10,17,2.0278884297519784
126,0.3,10,19,3.899300782999654
127,0.3,10,23,8.432307581633665
128,0.3,10,23,4.227236589996876
129,0.3,10,20,4.510924381270723
130,0.3,10,20,3.1246826695100274
131,0.3,10,22,5.512703020997071
132,0.3,10,20,6.342859778192853
133,0.3,10,23,5.152941307295947
134,0.3,10,22,9.584121358630547
135,0.3,10,19,3.372883961458253
136,0.3,10,19,3.075819779665675
137,0.3,10,20,5.131800434817778
138,0.3,10,24,3.3586308990945133
139,0.3,10,18,2.976319628801447
140,0.3,10,19,4.54397728991219
141,0.3,10,18,4.105546227991016
142,0.3,10,19,3.4149407258868734
143,0.3,10,22,4.918514961628505
144,0.3,10,19,3.1901731829857236
145,0.3,10,22,5.801958236829754
146,0.3,10,19,2.8572371611473693
147,0.3,10,18,2.2275037718949626
148,0.3,10,24,12.540115932929016
149,0.3,10,19,4.248262111355609
150,0.3,10,19,3.2829489661297426
151,0.3,10,17,1.9919129655943024
152,0.3,10,17,2.0297680451893716
153,0.3,10,19,1.9277470571062894
154,0.3,10,18,3.95671921794158
155,0.3,10,24,6.7335792788727975
156,0.3,10,24,6.15069222782854
157,0.3,10,18,2.5787453965454796
158,0.3,10,19,3.5267420193427044
159,0.3,10,21,4.6900029270495
160,0.3,10,17,3.24537328263467
161,0.3,10,19,3.544902838582816
162,0.3,10,18,2.6117498248333733
163,0.3,10,19,3.3847781613266497
164,0.3,10,18,3.4097995606863774
165,0.3,10,19,2.86573456765016
166,0.3,10,21,3.659144952667617
167,0.3,10,19,2.5731849321486018
168,0.3,10,21,4.569022305605228
169,0.3,10,21,5.825257761620238
170,0.3,10,19,4.935829281619977
171,0.3,10,17,2.1203981500020808
172,0.3,10,23,8.26751505044647
173,0.3,10,20,4.768196999518292
174,0.3,10,18,2.1104595916513618
175,0.3,10,22,5.842808088072536
176,0.3,10,21,4.609750639504388
177,0.3,10,20,3.8765256075951195
178,0.3,10,23,10.232579572027033
179,0.3,10,23,8.74554741326464
180,0.3,10,21,7.181967018883198
181,0.3,10,20,5.925510080760575
182,0.3,10,22,4.137376495245628
183,0.3,10,20,2.725148278616338
184,0.3,10,17,1.325379382023299
185,0.3,10,22,6.801890586063495
186,0.3,10,19,1.8053579186814075
187,0.3,10,19,4.406956932203082
188,0.3,10,19,4.47826105101727
189,0.3,10,18,2.1684036939988585
190,0.3,10,19,3.4169187872882216
191,0.3,10,19,4.429703362863557
192,0.3,10,16,1.6033965025702819
193,0.3,10,19,3.363116337079391
194,0.3,10,23,5.693479187116997
195,0.3,10,21,5.892358935874259
196,0.3,10,19,2.677744444779844
197,0.3,10,18,2.7259979050082976
198,0.3,10,20,3.841521762113786
199,0.3,10,24,8.081604717994987
200,0.3,10,22,5.166811863448266
201,0.3,10,18,3.756488769384918
202,0.3,10,18,2.614573793907706
203,0.3,10,19,4.456639813144143
204,0.3,10,18,2.7232033644699003
205,0.3,10,18,2.519261061027808
206,0.3,10,22,5.345705296163398
207,0.3,10,18,2.748275839964284
208,0.3,10,24,10.846963127293858
209,0.3,10,24,11.203449213298743
210,0.3,10,19,4.044011328760412
211,0.3,10,20,6.2656758515880435
212,0.3,10,22,8.608383531046393
213,0.3,10,18,2.7730636606537704
214,0.3,10,26,18.08463773974092
215,0.3,10,17,2.880528221472343
216,0.3,10,21,9.40418023249461
217,0.3,10,20,6.305203288937598
218,0.3,10,20,5.87919347155923
219,0.3,10,22,6.629894873040009
220,0.3,10,23,8.572898741626698
221,0.3,10,19,2.8163956422804555
222,0.3,10,18,3.1486077334927187
223,0.3,10,22,7.398592602636091
224,0.3,10,18,3.304974552925001
225,0.3,10,19,2.0774929648715337
226,0.3,10,18,2.5094309738912877
227,0.3,10,24,9.043265988594046
228,0.3,10,24,11.79315381878796
229,0.3,10,20,6.102507923847442
230,0.3,10,18,2.693067274789977
231,0.3,10,24,6.042866386971512
232,0.3,10,19,3.5946570692579454
233,0.3,10,18,1.8019480164175143
234,0.3,10,22,5.129130353838919
235,0.3,10,18,2.7915167140505623
236,0.3,10,17,2.548931026037867
237,0.3,10,18,4.370461511223502
238,0.3,10,24,4.422229992301728
239,0.3,10,19,3.238544732023081
240,0.3,10,19,3.277435385515655
241,0.3,10,21,3.665976470733094
242,0.3,10,22,2.7135608505349236
243,0.3,10,23,8.943492406479523
244,0.3,10,19,4.822196410902953
245,0.3,10,22,7.108766882897504
246,0.3,10,22,9.715680825657083
247,0.3,10,18,2.1315064899436464
248,0.3,10,24,4.3332110822221805
249,0.3,10,20,3.3783655365992487
250,0.3,10,22,6.969206859962225
251,0.3,10,17,2.8459156020875263
252,0.3,10,20,5.530439947929117
253,0.3,10,18,5.350169161723816
254,0.3,10,19,5.709561512323038
255,0.3,10,23,10.885790839891888
256,0.3,10,19,2.865013091306549
257,0.3,10,23,7.385680652941009
258,0.3,10,18,2.5114686029594067
259,0.3,10,21,4.883675290647567
260,0.3,10,18,3.7122207426320166
261,0.3,10,19,2.9450912013391513
262,0.3,10,18,2.890286784689421
263,0.3,10,24,8.209868802502914
264,0.3,10,3,0.5088830721190174
265,0.3,10,18,1.7912883508383135
266,0.3,10,21,8.460693201550242
267,0.3,10,21,7.125960351452214
268,0.3,10,22,8.249649232014333
269,0.3,10,21,2.9776196481020305
270,0.3,10,18,3.066061663954532
271,0.3,10,23,9.979259865211041
272,0.3,10,24,9.252132927490141
273,0.3,10,24,8.665307481728714
274,0.3,10,17,1.90138903533374
275,0.3,10,22,4.970016615101864
276,0.3,10,24,7.21598707009885
277,0.3,10,20,5.839034834481762
278,0.3,10,20,5.300623027743998
279,0.3,10,19,3.6903262673104336
280,0.3,10,23,5.959127378516854
281,0.3,10,22,5.258429845945099
282,0.3,10,20,7.688481990561068
283,0.3,10,18,2.106550653232655
284,0.3,10,20,2.514975007621848
285,0.3,10,16,2.5465764048379045
286,0.3,10,22,9.79118912242859
287,0.3,10,24,19.488656764879753
288,0.3,10,24,7.008248220553521
289,0.3,10,23,8.393467376089648
290,0.3,10,23,7.449749652853133
291,0.3,10,17,3.072403509557747
292,0.3,10,23,4.254357735545816
293,0.3,10,23,3.3371960364051
294,0.3,10,23,5.012498220155072
295,0.3,10,19,4.801152646196402
296,0.3,10,19,2.3135887677960487
297,0.3,10,24,6.927863055931116
298,0.3,10,19,3.931305024784944
299,0.3,10,18,3.339560242251821
300,0.3,10,23,2.857378948521377
301,0.3,10,24,8.94182921493528
302,0.3,10,17,3.003939375047936
303,0.3,10,19,3.1257857971851846
304,0.3,10,21,4.193690630290374
305,0.3,10,21,6.895712474362061
306,0.3,10,21,6.94821610177868
307,0.3,10,20,2.7881630283359677
308,0.3,10,21,6.9412459782181415
309,0.3,10,19,5.683683410771204
310,0.3,10,21,3.7072607748000803
311,0.3,10,18,2.5421991793713388
312,0.3,10,17,3.063700802480366
313,0.3,10,23,6.200613226112035
314,0.3,10,24,2.9616699364748724
315,0.3,10,20,5.879308123147172
316,0.3,10,18,1.674772508973549
317,0.3,10,19,4.053632249662403
318,0.3,10,18,3.0509094390820986
319,0.3,10,20,5.8969123492785736
320,0.3,10,21,5.7564110224516485
321,0.3,10,17,2.9273360264988444
322,0.3,10,19,2.190285034666061
323,0.3,10,20,2.675638612660036
324,0.3,10,22,4.831112919328996
325,0.3,10,19,3.9426664962742177
326,0.3,10,18,2.935627873008842
327,0.3,10,19,7.723703560286011
328,0.3,10,24,9.578283401687179
329,0.3,10,18,3.840701586563461
330,0.3,10,25,7.932861206057699
331,0.3,10,23,9.12315255228399
332,0.3,10,18,3.785454922227128
333,0.3,10,23,4.44025474571965
334,0.3,10,19,4.075717270425739
335,0.3,10,19,3.8541754405728463
336,0.3,10,19,1.9223512277792403
337,0.3,10,22,9.398537667840355
338,0.3,10,20,3.6474010492057367
339,0.3,10,22,9.649280682690497
340,0.3,10,18,1.889191620580685
341,0.3,10,19,2.959725137771598
342,0.3,10,18,3.672414236608242
343,0.3,10,17,2.816435898236469
344,0.3,10,21,5.733661513887419
345,0.3,10,18,3.565745170188701
346,0.3,10,21,4.760511397568418
347,0.3,10,22,6.089242589643462
348,0.3,10,22,5.860276210314155
349,0.3,10,19,3.4647524520235566
350,0.3,10,19,5.691124707020741
351,0.3,10,22,9.041997504309414
352,0.3,10,22,8.04494583278222
353,0.3,10,19,3.5006842791134085
354,0.3,10,17,3.6278670864014284
355,0.3,10,19,3.2550579268146023
356,0.3,10,23,6.627102034455014
357,0.3,10,19,3.8155064424875462
358,0.3,10,20,3.069624933713415
359,0.3,10,22,5.110205940651972
360,0.3,10,20,5.629893354677882
361,0.3,10,20,4.854274006371083
362,0.3,10,18,2.7299665901073196
363,0.3,10,19,3.2181897707317955
364,0.3,10,23,9.791654072602082
365,0.3,10,16,2.1511749769847186
366,0.3,10,17,3.02641371020802
367,0.3,10,20,4.044605941840579
368,0.3,10,23,7.9921552269414455
369,0.3,10,23,7.34239902134384
370,0.3,10,20,7.706786808567357
371,0.3,10,15,1.2995401182202715
372,0.3,10,20,7.096500114396686
373,0.3,10,22,3.4994028628978366
374,0.3,10,18,2.354615518976536
375,0.3,10,17,2.531879679198214
376,0.3,10,17,4.738990699753384
377,0.3,10,18,2.090098940823206
378,0.3,10,18,2.740561331611989
379,0.3,10,19,3.1255693680648244
380,0.3,10,19,2.696370910363003
381,0.3,10,22,9.536306674568634
382,0.3,10,17,2.272180239069234
383,0.3,10,18,2.6613162689045162
384,0.3,10,19,3.4775952972182247
385,0.3,10,23,11.930629681083222
386,0.3,10,20,3.3649214756006125
387,0.3,10,17,2.4211363067767047
388,0.3,10,18,2.1004550783104405
389,0.3,10,18,2.9697508151708836
390,0.3,10,18,0.7539120485956077
391,0.3,10,21,5.276395318020488
392,0.3,10,23,10.443294914961472
393,0.3,10,21,5.934167629350763
394,0.3,10,20,5.223068850143186
395,0.3,10,24,8.999470308549219
396,0.3,10,23,10.406698288281554
397,0.3,10,22,9.665330285988684
398,0.3,10,21,7.815737334403225
399,0.3,10,19,3.3779561096824793
400,0.3,10,18,2.836092107855242
401,0.3,10,20,3.9692099476544467
402,0.3,10,18,4.006889325891017
403,0.3,10,18,2.686522539048233
404,0.3,10,17,3.218471689524897
405,0.3,10,23,8.978305585830425
406,0.3,10,20,2.8646585453242555
407,0.3,10,20,4.754520860288176
408,0.3,10,23,5.1077510083821425
409,0.3,10,19,2.574606573035247
410,0.3,10,19,3.7929917213976903
411,0.3,10,19,4.719705261894432
412,0.3,10,23,7.257603863501802
413,0.3,10,23,5.325811621632863
414,0.3,10,17,3.46797645801343
415,0.3,10,16,2.277126734281236
416,0.3,10,22,8.601594243694061
417,0.3,10,17,2.2944229352600987
418,0.3,10,22,7.131319617145409
419,0.3,10,17,2.1722129244131656
420,0.3,10,19,3.757189008645698
421,0.3,10,19,2.391492281166816
422,0.3,10,18,4.4318775034373825
423,0.3,10,22,4.523597496046103
424,0.3,10,16,1.8555921518836496
425,0.3,10,18,2.737601810894659
426,0.3,10,18,2.9907486521884525
427,0.3,10,18,2.810751426187737
428,0.3,10,19,3.603818620698475
429,0.3,10,22,5.389185076085248
430,0.3,10,22,7.72858643693642
431,0.3,10,23,5.199823593477753
432,0.3,10,17,2.63311046408449
433,0.3,10,22,4.30617601019604
434,0.3,10,21,5.646878152270899
435,0.3,10,20,4.484660357244955
436,0.3,10,18,2.4548785769293695
437,0.3,10,22,6.171396030834678
438,0.3,10,20,5.635998944645636
439,0.3,10,23,7.765520228937941
440,0.3,10,21,5.624851678577712
441,0.3,10,21,4.325318786709402
442,0.3,10,18,2.831840336079061
443,0.3,10,21,5.6824430971923885
444,0.3,10,19,4.32975224057005
445,0.3,10,16,3.201878206364371
446,0.3,10,21,4.384151656897916
447,0.3,10,18,3.5062857208900478
448,0.3,10,19,3.2877044116092558
449,0.3,10,18,4.30900152475707
450,0.3,10,23,9.912423332066068
451,0.3,10,18,2.335029829752942
452,0.3,10,24,8.386364384195774
453,0.3,10,21,7.1367176937738455
454,0.3,10,20,1.9001728449402204
455,0.3,10,22,7.0141104642251175
456,0.3,10,19,7.164161737261288
457,0.3,10,23,7.686457852578154
458,0.3,10,19,3.695041295998574
459,0.3,10,19,3.189114687389645
460,0.3,10,22,6.071439571170544
461,0.3,10,15,1.2330593643700576
462,0.3,10,23,10.02420145429967
463,0.3,10,18,2.1724498336703544
464,0.3,10,23,10.382477003912214
465,0.3,10,19,2.1217627295081867
466,0.3,10,20,4.355770497644067
467,0.3,10,22,9.724247629998619
468,0.3,10,18,2.7319035681444883
469,0.3,10,24,4.14798973516505
470,0.3,10,24,6.033071018007174
471,0.3,10,18,3.37592499393759
472,0.3,10,21,2.736206759077534
473,0.3,10,19,2.3784705969627717
474,0.3,10,17,2.745473240028865
475,0.3,10,20,3.394097567006717
476,0.3,10,18,3.1062770158326662
477,0.3,10,18,3.02732487584359
478,0.3,10,17,2.360280493541817
479,0.3,10,23,10.710285697010109
480,0.3,10,24,10.003668473061822
481,0.3,10,23,7.98512851179308
482,0.3,10,19,2.630811297250495
483,0.3,10,19,2.501110708194172
484,0.3,10,18,3.907059757648649
485,0.3,10,17,2.080857135288933
486,0.3,10,19,5.187981728696815
487,0.3,10,19,2.739564165135934
488,0.3,10,23,11.38302245865035
489,0.3,10,19,3.417781586534381
490,0.3,10,18,2.144932386176971
491,0.3,10,23,3.537065291366671
492,0.3,10,22,5.570918485510591
493,0.3,10,24,8.039878841030037
494,0.3,10,22,9.417420530824389
495,0.3,10,21,5.227243155751448
496,0.3,10,19,3.094002309930028
497,0.3,10,17,2.525351836972777
498,0.3,10,18,4.031566802736178
499,0.3,10,19,3.371865552725452
500,0.3,10,19,3.8739769450814503
501,0.3,10,16,3.493681387666088
502,0.3,10,23,4.3636974460411695
503,0.3,10,23,13.991729126471615
504,0.3,10,18,2.9592382582030807
505,0.3,10,17,2.1852231358068894
506,0.3,10,20,5.296884145791344
507,0.3,10,23,4.966899833879851
508,0.3,10,17,3.087824458351463
509,0.3,10,23,2.452486537644248
510,0.3,10,20,6.404516822177726
511,0.3,10,18,3.9534725958369363
512,0.3,10,19,3.29866499626123
513,0.3,10,22,7.103321407544625
514,0.3,10,21,5.216965589123617
515,0.3,10,19,3.218895551176563
516,0.3,10,17,2.2424678267983733
517,0.3,10,21,3.1829555941600596
518,0.3,10,19,4.390332468141404
519,0.3,10,23,8.251417444007034
520,0.3,10,17,2.9915796869593017
521,0.3,10,19,2.3844037276950516
522,0.3,10,18,4.120685857453803
523,0.3,10,18,3.5449398520250375
524,0.3,10,24,7.58825895069406
525,0.3,10,23,8.316060822638871
526,0.3,10,21,5.084963888168009
527,0.3,10,23,9.759184235835336
528,0.3,10,18,4.1668108990285555
529,0.3,10,24,7.780187628795722
530,0.3,10,21,6.1069371374336265
531,0.3,10,18,2.842676841306397
532,0.3,10,20,5.114585917020709
533,0.3,10,18,2.962599502877671
534,0.3,10,19,4.549979864315305
535,0.3,10,17,3.6855890173622927
536,0.3,10,24,4.790037911884203
537,0.3,10,21,5.584647649084651
538,0.3,10,17,1.8978493680952384
539,0.3,10,22,7.296198606726822
540,0.3,10,22,6.046907936229108
541,0.3,10,22,4.717600700638258
542,0.3,10,20,2.8897017460921184
543,0.3,10,21,6.130515006008745
544,0.3,10,18,4.2905810709423555
545,0.3,10,18,3.263768470243967
546,0.3,10,19,2.516421201849921
