spot_id,tau,lambda,n_celltypes,rmse
0,0.15,5,26,5.206742608237785
1,0.15,5,26,11.053954208156766
2,0.15,5,26,15.89922403160324
3,0.15,5,26,3.494733736191487
4,0.15,5,26,21.23204596559638
5,0.15,5,26,19.089365182872584
6,0.15,5,26,21.570244087679484
7,0.15,5,26,10.716468767700743
8,0.15,5,26,7.818251346892861
9,0.15,5,26,4.100945771143191
10,0.15,5,26,22.207879928731884
11,0.15,5,26,5.9885042101394035
12,0.15,5,26,12.653325029576818
13,0.15,5,26,7.733368621136261
14,0.15,5,26,6.634572701894666
15,0.15,5,26,8.089953958850005
16,0.15,5,26,10.805060381099736
17,0.15,5,26,5.539925345965892
18,0.15,5,26,13.408473922578526
19,0.15,5,26,18.65800515275135
20,0.15,5,26,8.954062227146828
21,0.15,5,26,10.343550787994639
22,0.15,5,26,14.416089944926247
23,0.15,5,25,7.1737937984717
24,0.15,5,26,11.802729146396958
25,0.15,5,26,3.657293462194323
26,0.15,5,26,12.748265292575107
27,0.15,5,26,5.0745940083562955
28,0.15,5,26,7.885500320681609
29,0.15,5,26,17.729417519466796
30,0.15,5,26,15.696945070849578
31,0.15,5,26,27.52085341553498
32,0.15,5,26,8.652471271350816
33,0.15,5,26,8.654928487178326
34,0.15,5,26,6.643555572883508
35,0.15,5,26,4.671285343586157
36,0.15,5,26,9.609476087013986
37,0.15,5,26,7.949178148268397
38,0.15,5,26,11.816681067455127
39,0.15,5,26,4.648090744706606
40,0.15,5,26,7.7029076603305064
41,0.15,5,26,18.71392181076593
42,0.15,5,26,10.649728060718692
43,0.15,5,26,9.315381097903478
44,0.15,5,26,7.442568868846667
45,0.15,5,26,8.954136035480962
46,0.15,5,26,8.107752112546576
47,0.15,5,26,7.468224309454178
48,0.15,5,26,5.73709006459848
49,0.15,5,26,5.557844260984065
50,0.15,5,26,8.924338461821835
51,0.15,5,26,17.29590022427651
52,0.15,5,26,16.31955931691602
53,0.15,5,26,17.47725144127735
54,0.15,5,26,15.096566538574546
55,0.15,5,26,9.850966577878618
56,0.15,5,26,11.863791041990787
57,0.15,5,26,23.895079742661967
58,0.15,5,26,7.92681161153831
59,0.15,5,26,13.23064317736694
