gene,gini_coefficient,max_detection_rate,top_celltype,top_celltype_expression
1700061E18Rik,0.9615384615384615,0.05263157894736842,Cluster_35_Immune,0.08697931453454766
Ccr1,0.9615384615384615,0.05263157894736842,Cluster_35_Immune,0.10168466720619587
Gm26994,0.9615384615384615,0.07407407407407407,Cluster_22_Neurons,0.06699405914303017
Ccr6,0.9615384615384615,0.13157894736842105,Cluster_35_Immune,0.27174467663767365
4833403J16Rik,0.9615384615384615,0.06060606060606061,Cluster_70_Vascular,0.07513604950535636
Gm17231,0.9615384615384615,0.056962025316455694,Cluster_1_Oligos,0.0582799451556241
Rassf6,0.9615384615384615,0.06060606060606061,Cluster_70_Vascular,0.10438132688289202
Csf3r,0.9615384615384615,0.34210526315789475,Cluster_35_Immune,0.7619548669271589
Crygs,0.9615384615384615,0.07407407407407407,Cluster_22_Neurons,0.06235220307541435
Cd101,0.9615384615384615,0.05263157894736842,Cluster_35_Immune,0.11712593946388662
Defb20,0.9615384615384615,0.06329113924050633,Cluster_1_Oligos,0.0625841026432372
Phf11b,0.9615384615384615,0.07894736842105263,Cluster_35_Immune,0.15852710139998685
Gm38335,0.9615384615384615,0.056962025316455694,Cluster_1_Oligos,0.05623112766192924
Gm13376,0.9615384615384615,0.05714285714285714,Cluster_10_Neurons,0.06667166997683839
Cst7,0.9615384615384615,0.05263157894736842,Cluster_35_Immune,0.1048146941435745
Casr,0.9615384615384615,0.08227848101265822,Cluster_1_Oligos,0.08218615982682219
C130080G10Rik,0.9615384615384615,0.09615384615384616,Cluster_16_Neurons,0.13527454529114843
C130026I21Rik,0.9615384615384615,0.05263157894736842,Cluster_35_Immune,0.10589780178861811
Tnf,0.9615384615384615,0.07894736842105263,Cluster_35_Immune,0.1474742960265593
Gm16058,0.9615384615384615,0.08860759493670886,Cluster_1_Oligos,0.0981474497974362
Chrm5,0.9615384615384615,0.07692307692307693,Cluster_30_Neurons,0.10224423690311281
Clnk,0.9615384615384615,0.18518518518518517,Cluster_22_Neurons,0.15431475925555482
Ly6g6f,0.9615384615384615,0.12658227848101267,Cluster_1_Oligos,0.15404624265407735
Slc13a1,0.9615384615384615,0.18518518518518517,Cluster_22_Neurons,0.13799131124666417
P2ry13,0.9615384615384615,0.42105263157894735,Cluster_35_Immune,0.9183802766185152
Adora3,0.9615384615384615,0.07894736842105263,Cluster_35_Immune,0.15991426687628174
Serpina12,0.9615384615384615,0.1111111111111111,Cluster_22_Neurons,0.09569523130392324
Apol10b,0.9615384615384615,0.06521739130434782,Cluster_73_Blood,0.10212243052326822
Nlrc4,0.9615384615384615,0.05063291139240506,Cluster_1_Oligos,0.04903952226908553
Serpinf2,0.9615384615384615,0.08571428571428572,Cluster_10_Neurons,0.12214809178437583
Nlrp3,0.9615384615384615,0.07894736842105263,Cluster_35_Immune,0.17203686246243105
Mab21l1,0.9615384615384615,0.057692307692307696,Cluster_16_Neurons,0.07856316076831452
Gm9970,0.9615384615384615,0.07407407407407407,Cluster_22_Neurons,0.04862815651914848
Apcdd1,0.9615384615384615,0.06060606060606061,Cluster_70_Vascular,0.1272615270660822
Hamp2,0.9615384615384615,0.06329113924050633,Cluster_1_Oligos,0.06156771846680474
Nfam1,0.9615384615384615,0.10526315789473684,Cluster_35_Immune,0.21145830062702087
Erp27,0.9615384615384615,0.12025316455696203,Cluster_1_Oligos,0.14682347814093116
Hspb7,0.9615384615384615,0.06521739130434782,Cluster_73_Blood,0.10441220141541119
I830077J02Rik,0.9615384615384615,0.15789473684210525,Cluster_35_Immune,0.34178798160624313
Arhgap30,0.9615384615384615,0.10526315789473684,Cluster_35_Immune,0.21558455195118892
Arl11,0.9615384615384615,0.10526315789473684,Cluster_35_Immune,0.18883576537037855
Ptafr,0.9615384615384615,0.05263157894736842,Cluster_35_Immune,0.08729462396593346
Elf4,0.9615384615384615,0.05263157894736842,Cluster_35_Immune,0.10684063612674544
Ncf4,0.9615384615384615,0.21052631578947367,Cluster_35_Immune,0.4607291215788611
Wdfy4,0.9615384615384615,0.10526315789473684,Cluster_35_Immune,0.218819564501303
Lpar3,0.9615384615384615,0.08860759493670886,Cluster_1_Oligos,0.09634969041346987
Il1a,0.9615384615384615,0.05263157894736842,Cluster_35_Immune,0.10038219388080719
Igsf6,0.9615384615384615,0.07894736842105263,Cluster_35_Immune,0.16045474809416846
9530053A07Rik,0.9615384615384615,0.13924050632911392,Cluster_1_Oligos,0.13998740998569517
Tifab,0.9615384615384615,0.10526315789473684,Cluster_35_Immune,0.23681772310353577
Bcl2a1a,0.9615384615384615,0.18421052631578946,Cluster_35_Immune,0.4099135831748298
Irak3,0.9615384615384615,0.06521739130434782,Cluster_73_Blood,0.10403388221243878
Bank1,0.9615384615384615,0.07894736842105263,Cluster_35_Immune,0.16441402469048538
Cd79b,0.9615384615384615,0.07894736842105263,Cluster_35_Immune,0.17223168080041745
Myo1f,0.9615384615384615,0.05263157894736842,Cluster_35_Immune,0.11055561548349474
Themis2,0.9615384615384615,0.05263157894736842,Cluster_35_Immune,0.10693252767596227
Gm43674,0.9615384615384615,0.07692307692307693,Cluster_30_Neurons,0.09146461727322236
Msmp,0.9615384615384615,0.08,Cluster_49_Neurons,0.11822344454314307
1700001P01Rik,0.9615384615384615,0.16455696202531644,Cluster_1_Oligos,0.18788072633912872
Lrat,0.9615384615384615,0.05454545454545454,Cluster_19_Neurons,0.06973587096961845
Gm26911,0.9615384615384615,0.07407407407407407,Cluster_22_Neurons,0.055628821535833775
Lrch4,0.9615384615384615,0.07894736842105263,Cluster_35_Immune,0.15686527735359523
Havcr2,0.9615384615384615,0.05263157894736842,Cluster_35_Immune,0.09456131222271863
Gpr84,0.9615384615384615,0.23684210526315788,Cluster_35_Immune,0.48817200457209564
Ccl12,0.960377093183787,0.3157894736842105,Cluster_35_Immune,0.671915201319398
Ms4a6d,0.9603440982940321,0.23684210526315788,Cluster_35_Immune,0.45817580598147384
Gna15,0.9592428816961958,0.2631578947368421,Cluster_35_Immune,0.580642258555789
Il21r,0.9591023733755293,0.18421052631578946,Cluster_35_Immune,0.4059137365595597
Adgre1,0.9590179318120375,0.5263157894736842,Cluster_35_Immune,1.2404578815222689
G430095P16Rik,0.9588340675766907,0.05263157894736842,Cluster_35_Immune,0.124888940525414
Gm16316,0.9586125004000228,0.14556962025316456,Cluster_1_Oligos,0.15193792463190678
Ncf1,0.958585965405228,0.21052631578947367,Cluster_35_Immune,0.45831306977905967
Cd53,0.9582816872036422,0.5,Cluster_35_Immune,1.1406234505067048
Gm26834,0.9582751115688808,0.22784810126582278,Cluster_1_Oligos,0.29159128081405317
Il7r,0.9581864879671635,0.05263157894736842,Cluster_35_Immune,0.10742025368465732
Abi3,0.9580691194946593,0.47368421052631576,Cluster_35_Immune,1.1534687616276686
Clec5a,0.9579589268082271,0.18421052631578946,Cluster_35_Immune,0.3659632424553129
Ccl9,0.9579467386064073,0.2894736842105263,Cluster_35_Immune,0.6188290250001843
Tlr13,0.957809377681696,0.05263157894736842,Cluster_35_Immune,0.11303649165376184
Fcgr2b,0.9577455407815454,0.05263157894736842,Cluster_35_Immune,0.10477620017863615
Dnah14,0.957702173570115,0.05714285714285714,Cluster_10_Neurons,0.08974001510912752
Folr2,0.9575882811138101,0.18354430379746836,Cluster_1_Oligos,0.20600350721250466
Ikzf1,0.9575600706475735,0.15789473684210525,Cluster_35_Immune,0.3274827087940803
Il4i1,0.9574578698002472,0.07894736842105263,Cluster_35_Immune,0.1848554385832361
Bcl2a1b,0.9574208719712967,0.3684210526315789,Cluster_35_Immune,0.77145424866504
Runx1,0.9571084355842352,0.05263157894736842,Cluster_35_Immune,0.1166676391377974
Cd33,0.9567903919990082,0.21052631578947367,Cluster_35_Immune,0.46073750368785965
Bcl2a1d,0.9565674461700611,0.13157894736842105,Cluster_35_Immune,0.258523664016363
Rhoh,0.9565429413924058,0.3684210526315789,Cluster_35_Immune,0.8317277957825444
